name,website,type,region,emails,email_count,procurement_portal,services_fit
University of Coventry,https://www.coventry.ac.uk,University,England,ad7747@coventry.ac.uk; procurement@coventry.ac.uk,2,,employer_partnerships|graduates
University of Cranfield,https://www.cranfield.ac.uk,University,England,procurement@cranfield.ac.uk,1,,research|consulting
University of Cumbria,https://www.cumbria.ac.uk,University,England,enquirycentre@cumbria.ac.uk; procurement@cumbria.ac.uk,2,,
De Montfort University,https://www.dmu.ac.uk,University,England,procurement@dmu.ac.uk,1,,
University of Derby,https://www.derby.ac.uk,University,England,international@derby.ac.uk; askadmissions@derby.ac.uk; businessgateway@derby.ac.uk; security@derby.ac.uk; enquiriesUDB@derby.ac.uk; procurement@derby.ac.uk,6,,
University of Dundee,https://www.dundee.ac.uk,University,Scotland,procurement@dundee.ac.uk,1,,
Durham University,https://www.durham.ac.uk,University,England,procurement@durham.ac.uk,1,,employer_partnerships|graduates|research
University of East Anglia,https://www.uea.ac.uk,University,England,procurement@uea.ac.uk,1,https://www.uea.ac.uk/about/university-information/finance-and-procurement/becoming-a-supplier/register-on-intend-e-tendering-site-,employer_partnerships|graduates
University of East London,https://www.uel.ac.uk,University,England,procurement@uel.ac.uk,1,,
University of Edinburgh,https://www.ed.ac.uk,University,Scotland,procurement@ed.ac.uk,1,https://www.ed.ac.uk/procurement,employer_partnerships|graduates|research
University of Essex,https://www.essex.ac.uk,University,England,enquiries@essex.ac.uk; admit@essex.ac.uk; pgadmit@essex.ac.uk; comms@essex.ac.uk; sport@essex.ac.uk; procurement@essex.ac.uk,6,,
University of Exeter,https://www.exeter.ac.uk,University,England,abuse@exeter.ac.uk; inbound@exeter.ac.uk; outbound@exeter.ac.uk; exeterao@exeter.ac.uk; accommodation@fxplus.ac.uk; procurement@exeter.ac.uk,6,https://in-tendhost.co.uk/universityofexeter,employer_partnerships|graduates|research
University of Glasgow,https://www.gla.ac.uk,University,Scotland,med-sch-dental-ug@glasgow.ac.uk; med-sch-admissions@glasgow.ac.uk; vet-admissions@glasgow.ac.uk; shortcourses@glasgow.ac.uk; media@gla.ac.uk; procurement@gla.ac.uk,6,https://www.publiccontractsscotland.gov.uk,employer_partnerships|graduates|research
University of Gloucestershire,https://www.glos.ac.uk,University,England,admissions@glos.ac.uk; procurement@glos.ac.uk,2,,
University of Greenwich,https://www.gre.ac.uk,University,England,international@greenwich.ac.uk; postgraduateresearch_admissions@gre.ac.uk; studentcentre@gre.ac.uk; ah.accommodation@gre.ac.uk; gr.accommodation@gre.ac.uk; procurement@gre.ac.uk,6,,
Heriot-Watt University,https://www.hw.ac.uk,University,Scotland,N.Fegen@hw.ac.uk; m.conlon@hw.ac.uk; r.milcarz@hw.ac.uk; mediaenquiries@hw.ac.uk; icit@hw.ac.uk; procurement@hw.ac.uk,6,,
University of Hertfordshire,https://www.herts.ac.uk,University,England,procurement@herts.ac.uk,1,https://in-tendhost.co.uk/universityofhertfordshire,employer_partnerships|graduates
University of Huddersfield,https://www.hud.ac.uk,University,England,business@hud.ac.uk; webteam@hud.ac.uk; procurement@hud.ac.uk,3,https://neupc.delta-esourcing.com,employer_partnerships|graduates
University of Hull,https://www.hull.ac.uk,University,England,procurement@hull.ac.uk,1,,
Imperial College London,https://www.imperial.ac.uk,University,England,procurement@imperial.ac.uk,1,,employer_partnerships|graduates|research|consulting
Keele University,https://www.keele.ac.uk,University,England,procurement@keele.ac.uk,1,,employer_partnerships|graduates|research
University of Kent,https://www.kent.ac.uk,University,England,study@kent.ac.uk; accomm@kent.ac.uk; alumni-office@kent.ac.uk; alumni@kent.ac.uk; appeals@kent.ac.uk; procurement@kent.ac.uk,6,https://uk.eu-supply.com/login.asp?B=UniversityKent,employer_partnerships|graduates
King's College London,https://www.kcl.ac.uk,University,England,procurement@kcl.ac.uk,1,https://www.kcl.ac.uk/procurement,employer_partnerships|graduates|research
Kingston University,https://www.kingston.ac.uk,University,England,procurement@kingston.ac.uk,1,https://in-tendhost.co.uk/kingstonuniversity,employer_partnerships|graduates
University of Lancaster,https://www.lancaster.ac.uk,University,England,procurement@lancaster.ac.uk,1,,employer_partnerships|graduates|research
University of Leeds,https://www.leeds.ac.uk,University,England,security@leeds.ac.uk; study@leeds.ac.uk; studyabroad@leeds.ac.uk; IFYAdmissions@leeds.ac.uk; educationoutreach@leeds.ac.uk; procurement@leeds.ac.uk,6,https://neupc.delta-esourcing.com,employer_partnerships|graduates|research
University of Leicester,https://www.le.ac.uk,University,England,study@le.ac.uk; accommodation@le.ac.uk; hellosu@le.ac.uk; control@le.ac.uk; pressoffice@le.ac.uk; procurement@le.ac.uk,6,https://universityofleicester.delta-esourcing.com,employer_partnerships|graduates|research
University of Lincoln,https://www.lincoln.ac.uk,University,England,enquiries@lincoln.ac.uk; admissions@lincoln.ac.uk; intadmissions@lincoln.ac.uk; internationalenquiries@lincoln.ac.uk; studentsupport@lincoln.ac.uk; procurement@lincoln.ac.uk,6,,
University of Liverpool,https://www.liverpool.ac.uk,University,England,irro@liverpool.ac.uk; accommodation@liverpool.ac.uk; procurement@liverpool.ac.uk,3,https://in-tendhost.co.uk/liverpool,employer_partnerships|graduates|research
London School of Economics,https://www.lse.ac.uk,University,England,procurement@lse.ac.uk,1,https://uk.eu-supply.com/login.asp?B=LSE,employer_partnerships|graduates|research
London South Bank University,https://www.lsbu.ac.uk,University,England,procurement@lsbu.ac.uk,1,,
University of Loughborough,https://www.lboro.ac.uk,University,England,enquiries@lboro.ac.uk; london@lboro.ac.uk; admissions@lboro.ac.uk; pgtaught@lboro.ac.uk; pgresearch@lboro.ac.uk; procurement@lboro.ac.uk,6,,employer_partnerships|graduates|research
University of Manchester,https://www.manchester.ac.uk,University,England,accommodation@manchester.ac.uk; manchesterstudenthomes@manchester.ac.uk; uom@helpmeapply.co.uk; conference@manchester.ac.uk; procurement@manchester.ac.uk,5,https://in-tendhost.co.uk/universityofmanchester,employer_partnerships|graduates|research|consulting
Manchester Metropolitan University,https://www.mmu.ac.uk,University,England,accommodation@mmu.ac.uk; press@mmu.ac.uk; procurement@mmu.ac.uk,3,,employer_partnerships|graduates
Middlesex University,https://www.mdx.ac.uk,University,England,procurement@mdx.ac.uk,1,https://in-tendhost.co.uk/mdx,employer_partnerships|graduates
Newcastle University,https://www.ncl.ac.uk,University,England,procurement@ncl.ac.uk,1,,employer_partnerships|graduates|research
University of Northampton,https://www.northampton.ac.uk,University,England,study@northampton.ac.uk; international@northampton.ac.uk; SID@northampton.ac.uk; admissions@northampton.ac.uk; Abigail.Bligh@northampton.ac.uk; procurement@northampton.ac.uk,6,,
Northumbria University,https://www.northumbria.ac.uk,University,England,procurement@northumbria.ac.uk,1,https://neupc.delta-esourcing.com,employer_partnerships|graduates
University of Nottingham,https://www.nottingham.ac.uk,University,England,regs@nottingham.ac.uk; library-helpline@nottingham.ac.uk; estateshelpdesk@nottingham.ac.uk; procurement@nottingham.ac.uk,4,https://in-tendhost.co.uk/nottingham,employer_partnerships|graduates|research
Nottingham Trent University,https://www.ntu.ac.uk,University,England,procurement@ntu.ac.uk,1,,
University of Oxford,https://www.ox.ac.uk,University,England,procurement@ox.ac.uk,1,https://in-tendhost.co.uk/oxford,employer_partnerships|graduates|research|consulting
Oxford Brookes University,https://www.brookes.ac.uk,University,England,procurement@brookes.ac.uk,1,,
University of Plymouth,https://www.plymouth.ac.uk,University,England,admissions@plymouth.ac.uk; uniaccommodation@plymouth.ac.uk; studentservices@plymouth.ac.uk; cardoffice@plymouth.ac.uk; graduation@plymouth.ac.uk; procurement@plymouth.ac.uk,6,https://www.mercell.com,employer_partnerships|graduates
University of Portsmouth,https://www.port.ac.uk,University,England,info@port.ac.uk; careers@port.ac.uk; admissions@port.ac.uk; globaladmissions@port.ac.uk; student.housing@port.ac.uk; procurement@port.ac.uk,6,https://in-tendhost.co.uk/portsmouth,employer_partnerships|graduates
Queen Mary University of London,https://www.qmul.ac.uk,University,England,procurement@qmul.ac.uk,1,,
Queen's University Belfast,https://www.qub.ac.uk,University,Northern Ireland,procurement@qub.ac.uk,1,,
University of Reading,https://www.reading.ac.uk,University,England,procurement@reading.ac.uk,1,https://reading.e-tendering.co.uk,employer_partnerships|graduates|research
Robert Gordon University,https://www.rgu.ac.uk,University,Scotland,procurement@rgu.ac.uk,1,,
University of Roehampton,https://www.roehampton.ac.uk,University,England,procurement@roehampton.ac.uk,1,,
Royal Holloway University of London,https://www.royalholloway.ac.uk,University,England,procurement@royalholloway.ac.uk,1,,
University of Salford,https://www.salford.ac.uk,University,England,askus@salford.ac.uk; procurement@salford.ac.uk,2,https://in-tendhost.co.uk/salford,employer_partnerships|graduates
University of Sheffield,https://www.sheffield.ac.uk,University,England,procurement@sheffield.ac.uk,1,https://in-tendhost.co.uk/sheffield,employer_partnerships|graduates|research
Sheffield Hallam University,https://www.shu.ac.uk,University,England,enquiries@shu.ac.uk; business@shu.ac.uk; procurement@shu.ac.uk,3,,employer_partnerships|graduates
University of Southampton,https://www.southampton.ac.uk,University,England,ssc@soton.ac.uk; enquiries@southampton.ac.uk; studenthub@soton.ac.uk; international@southampton.ac.uk; partnerships@southampton.ac.uk; procurement@soton.ac.uk,6,https://in-tendhost.co.uk/universityofsouthampton,employer_partnerships|graduates|research
University of South Wales,https://www.southwales.ac.uk,University,Wales,procurement@southwales.ac.uk; uswcommercial@southwales.ac.uk,2,,
University of St Andrews,https://www.st-andrews.ac.uk,University,Scotland,procurement@st-andrews.ac.uk,1,https://in-tendhost.co.uk/universityofstandrews,employer_partnerships|graduates|research
University of Stirling,https://www.stir.ac.uk,University,Scotland,recruitment@stir.ac.uk; admissions@stir.ac.uk; postgraduate.admissions@stir.ac.uk; international@stir.ac.uk; procurement@stir.ac.uk,5,,
University of Strathclyde,https://www.strath.ac.uk,University,Scotland,procurement@strath.ac.uk,1,https://www.strath.ac.uk/procurement,employer_partnerships|graduates|research
University of Sunderland,https://www.sunderland.ac.uk,University,England,procurement@sunderland.ac.uk,1,https://in-tendhost.co.uk/sunderland,employer_partnerships|graduates
University of Surrey,https://www.surrey.ac.uk,University,England,d.erkal@surrey.ac.uk; procurement@surrey.ac.uk,2,https://in-tendhost.co.uk/universityofsurrey,employer_partnerships|graduates|research
University of Sussex,https://www.sussex.ac.uk,University,England,information@sussex.ac.uk,1,,
Swansea University,https://www.swansea.ac.uk,University,Wales,procurement@swansea.ac.uk; supplierenquiries@swansea.ac.uk,2,,
Teesside University,https://www.tees.ac.uk,University,England,enquiries@tees.ac.uk; london-enquiries@tees.ac.uk; procurement@tees.ac.uk,3,https://neupc.delta-esourcing.com,employer_partnerships|graduates
University of Ulster,https://www.ulster.ac.uk,University,Northern Ireland,procurement@ulster.ac.uk,1,,
University of Wales Trinity Saint David,https://www.uwtsd.ac.uk,University,Wales,procurement@uwtsd.ac.uk,1,,
University of Warwick,https://warwick.ac.uk,University,England,webmaster@warwick.ac.uk; press@warwick.ac.uk; conferences@warwick.ac.uk; more-info@uwsp.co.uk; accommodation@warwick.ac.uk; procurement@warwick.ac.uk,6,,employer_partnerships|graduates|research|consulting
University of West England,https://www.uwe.ac.uk,University,England,infopoint@uwe.ac.uk; procurement@uwe.ac.uk,2,,
University of West London,https://www.uwl.ac.uk,University,England,courses@uwl.ac.uk; procurement@uwl.ac.uk,2,,
University of Westminster,https://www.westminster.ac.uk,University,England,procurement@westminster.ac.uk,1,,
University of the West of Scotland,https://www.uws.ac.uk,University,Scotland,procurement@uws.ac.uk,1,,
University of Wolverhampton,https://www.wlv.ac.uk,University,England,procurement@wlv.ac.uk,1,https://wlv.bravosolution.co.uk,employer_partnerships|graduates
University of Worcester,https://www.worcester.ac.uk,University,England,admissions@worc.ac.uk; study@worc.ac.uk; hr@worc.ac.uk; jobs@worc.ac.uk; international@worc.ac.uk,5,,
University of York,https://www.york.ac.uk,University,England,communications-support@york.ac.uk; ug-admissions@york.ac.uk; pg-admissions@york.ac.uk; international@york.ac.uk; pressoffice@york.ac.uk; procurement@york.ac.uk,6,,employer_partnerships|graduates|research
York St John University,https://www.yorksj.ac.uk,University,England,reception@yorksj.ac.uk; contactysjlondon@yorksj.ac.uk; procurement@yorksj.ac.uk,3,https://neupc.delta-esourcing.com,employer_partnerships|graduates
